feature,importance
vote_per_popularity,0.22476732221270665
runtime,0.07957815825435688
popularity,0.06400577994804514
budget_per_runtime,0.05698417009940275
budget,0.0443465282173351
release_day,0.04081833612070958
release_year,0.039442488100095194
budget_revenue_ratio,0.0365597338586054
genre_documentary,0.03578843520003328
release_month,0.03144430524019956
company_target_encoded,0.026730863963122912
genre_horror,0.02647325731117361
release_dayofweek,0.020402278802611473
director_target_encoded,0.01708703920749969
revenue_per_runtime,0.01329527668429787
language_en,0.013198394545058462
num_genres,0.012938684736142117
roi,0.01201322172317796
genre_drama,0.011663060973804977
director_count_encoded,0.010097010325051779
revenue,0.010068098196827665
keyword_tfidf_67,0.00931308241365461
certification_US_encoded,0.008457836021287326
num_cast,0.008242750455285682
genre_thriller,0.007524104999110396
genre_animation,0.007216570152234456
country_us,0.007193881630280947
keyword_tfidf_183,0.006678629633681413
genre_comedy,0.006173678288911038
collection_id,0.005973502966275167
country_unknown,0.005690793325577081
language_other,0.004983216609187747
genre_action,0.004897928538636895
genre_science_fiction,0.004557746752393676
genre_romance,0.004016605861422041
genre_tv_movie,0.0038932725193678536
genre_music,0.003615679939235424
language_es,0.003209174544753784
keyword_tfidf_17,0.003020944810132602
keyword_tfidf_153,0.0029860881012896924
keyword_tfidf_140,0.0029355022070081793
genre_family,0.002921004212205968
genre_mystery,0.0028045583020993876
genre_unknown,0.0025957580044004076
genre_crime,0.0024480608878353783
keyword_tfidf_108,0.0024340557667014324
country_gb,0.002369592421416102
country_au,0.0022319139300961276
keyword_tfidf_192,0.002103657927514278
genre_fantasy,0.0020969643698046016
release_is_weekend,0.002060359700828329
keyword_tfidf_61,0.001968055331607975
genre_history,0.0019472342206317845
country_ca,0.001923389781302633
country_in,0.0018866115508095577
keyword_tfidf_48,0.0017525734647914366
genre_adventure,0.0017134396065521076
language_pt,0.0015844306278552395
country_de,0.0015120766255813745
keyword_tfidf_54,0.00135158061449471
language_it,0.0013218293151955
keyword_tfidf_21,0.0012802119394864414
country_es,0.001258790316339643
language_fr,0.0011393705830213497
keyword_tfidf_193,0.0010550934601555948
language_ru,0.0010180455822692436
country_fr,0.0010037671464546505
language_de,0.0009547678821286654
country_it,0.0009307144522030627
keyword_tfidf_120,0.0009261959253679069
genre_war,0.0009128356471325744
keyword_tfidf_148,0.0008767449178767381
country_fi,0.0008213887332571436
keyword_tfidf_146,0.0007990256746361141
country_jp,0.0007759748044161642
country_ru,0.0007647173489387461
keyword_tfidf_164,0.0006953696313524774
keyword_tfidf_71,0.0006949514432328147
language_ja,0.0006665075221632837
genre_western,0.0006662218119294801
keyword_tfidf_132,0.0006028219763501074
country_cn,0.0005956720061546132
keyword_tfidf_31,0.0005717386985336841
keyword_tfidf_187,0.0005675265412708016
country_be,0.00042602639204817694
language_hi,0.00038649325295939086
language_ko,0.00029844615861269894
